"","inv2","inv3","website"
"92","ATA Ventures","5711019661852672","http://www.seed-db.com/investorgraph/investorview?investorid=5711019661852672"
"93","ATX Seed Ventures","5996304811425792","http://www.seed-db.com/investorgraph/investorview?investorid=5996304811425792"
"94","AVentures Capital","6417212143304704","http://www.seed-db.com/investorgraph/investorview?investorid=6417212143304704"
"95","AXA Strategic Ventures","5677184714801152","http://www.seed-db.com/investorgraph/investorview?investorid=5677184714801152"
"96","Aadil Mamujee","4868100239392768","http://www.seed-db.com/investorgraph/investorview?investorid=4868100239392768"
"97","Aamer Abdullah","4932346818068480","http://www.seed-db.com/investorgraph/investorview?investorid=4932346818068480"
"98","Aaref Hilaly","5703382002040832","http://www.seed-db.com/investorgraph/investorview?investorid=5703382002040832"
"99","Aaron Bird","4527088304390144","http://www.seed-db.com/investorgraph/investorview?investorid=4527088304390144"
"100","Aaron Harris","5698253676871680","http://www.seed-db.com/investorgraph/investorview?investorid=5698253676871680"
"101","Aaron Houghton","4667515447803904","http://www.seed-db.com/investorgraph/investorview?investorid=4667515447803904"
"102","Aaron Iba","6202724697767936","http://www.seed-db.com/investorgraph/investorview?investorid=6202724697767936"
"103","Aaron Levie","4787641421660160","http://www.seed-db.com/investorgraph/investorview?investorid=4787641421660160"
"104","Aaron Schiff","5220429165756416","http://www.seed-db.com/investorgraph/investorview?investorid=5220429165756416"
"105","Aaron Stone","5117232111681536","http://www.seed-db.com/investorgraph/investorview?investorid=5117232111681536"
"106","Aaron Stone","6256988820340736","http://www.seed-db.com/investorgraph/investorview?investorid=6256988820340736"
"107","Aayush Phumbhra","6287245791199232","http://www.seed-db.com/investorgraph/investorview?investorid=6287245791199232"
"108","Aber Whitcomb","5413983615975424","http://www.seed-db.com/investorgraph/investorview?investorid=5413983615975424"
"109","Aberdare Ventures","4549210070319104","http://www.seed-db.com/investorgraph/investorview?investorid=4549210070319104"
"110","Abhay Singhal","5498929613373440","http://www.seed-db.com/investorgraph/investorview?investorid=5498929613373440"
"111","Abhishek Rungta","5300212478246912","http://www.seed-db.com/investorgraph/investorview?investorid=5300212478246912"
"112","Abstract Ventures","5156187079180288","http://www.seed-db.com/investorgraph/investorview?investorid=5156187079180288"
"113","Abundance Partners","5078612566867968","http://www.seed-db.com/investorgraph/investorview?investorid=5078612566867968"
"114","Abundance Partners","5720947747192832","http://www.seed-db.com/investorgraph/investorview?investorid=5720947747192832"
"115","Abundant Ventures LLC","5367773387554816","http://www.seed-db.com/investorgraph/investorview?investorid=5367773387554816"
"116","Accel","5833270973431808","http://www.seed-db.com/investorgraph/investorview?investorid=5833270973431808"
"117","Accel Partners","6000854016458752","http://www.seed-db.com/investorgraph/investorview?investorid=6000854016458752"
"118","AccelFoods","5317514758193152","http://www.seed-db.com/investorgraph/investorview?investorid=5317514758193152"
"119","Acceleprise","6087473981554688","http://www.seed-db.com/investorgraph/investorview?investorid=6087473981554688"
"120","Acceleprise Ventures","5450812285255680","http://www.seed-db.com/investorgraph/investorview?investorid=5450812285255680"
"121","Accelerace","5130359943462912","http://www.seed-db.com/investorgraph/investorview?investorid=5130359943462912"
"122","Accelerate Fund","5034259249102848","http://www.seed-db.com/investorgraph/investorview?investorid=5034259249102848"
"123","Accelerate Ventures","6622849271857152","http://www.seed-db.com/investorgraph/investorview?investorid=6622849271857152"
"124","Accelerated Growth Partners","4566415977742336","http://www.seed-db.com/investorgraph/investorview?investorid=4566415977742336"
"125","Accelerator Ventures","5756069737398272","http://www.seed-db.com/investorgraph/investorview?investorid=5756069737398272"
"126","Accenture","6520287596118016","http://www.seed-db.com/investorgraph/investorview?investorid=6520287596118016"
"127","Access Industries","5145574231769088","http://www.seed-db.com/investorgraph/investorview?investorid=5145574231769088"
"128","Access Venture Partners","6291469459521536","http://www.seed-db.com/investorgraph/investorview?investorid=6291469459521536"
"129","Access Ventures","5641177101500416","http://www.seed-db.com/investorgraph/investorview?investorid=5641177101500416"
"130","Accion","5315951255879680","http://www.seed-db.com/investorgraph/investorview?investorid=5315951255879680"
"131","Accion Venture Lab","5754906375880704","http://www.seed-db.com/investorgraph/investorview?investorid=5754906375880704"
