"","x"
"722","Beenos Partners"
"723","Behzad Kianmahd"
"724","Ben Arbib"
"725","Ben Arbib"
"726","Ben Ball"
"727","Ben Chew"
"728","Ben Dahl"
"729","Ben Franklin Technology Partners"
"730","Ben Franklin Technology Partners of Northeast Pennsylvania"
"731","Ben Franklin Technology Partners of Northeastern Pennsylvania"
"732","Ben Franklin Technology Partners of Southeastern Pennsylvania"
"733","Ben Holzman"
"734","Ben Kepes"
"735","Ben Kosinski"
"736","Ben Kubota"
"737","Ben Leventhal"
"738","Ben Lewis"
"739","Ben Lewis"
"740","Ben Lin"
"741","Ben Lin"
"742","Ben Ling"
"743","Ben Littauer"
"744","Ben Narasin"
"745","Ben Orthlieb"
"746","Ben Parr"
"747","Ben Parr"
"748","Ben Pflederer"
"749","Ben Silver"
"750","Ben Tsai"
"751","Ben Walton"
"752","Ben Welch-bolen"
"753","Ben Wynne-Simmons"
"754","Benchmark"
"755","Benhamou Global Ventures"
"756","Benjamin Boyer"
"757","Benjamin Joffe"
"758","Benjamin Ling"
"759","Berenson &amp; Company"
"760","Berggruen Holdings"
"761","Beringea"
"762","Berkeley Angel Network"
"763","Berkeley Ventures"
"764","Bernardo Flood"
"765","Bernardo Hernandez"
"766","Bernardo Investment"
"767","Bernhard Niesner"
"768","Berninger Verwaltungs GmbH"
"769","Bertelsmann Digital Media Investments"
"770","Berwind Private Equity"
"771","Bessemer Venture Partners"
"772","Best Buy"
"773","Beta Bridge Capital"
"774","Beta Fund"
"775","Beta Operators Fund"
"776","Betaspring"
"777","Betaworks"
"778","Beth Ellyn McClendon"
"779","Bethnal Green Ventures"
"780","Better Ventures"
"781","Bevan Clark"
"782","Bezos Expeditions"
"783","Bezos Expeditions"
"784","Bharathram Thothadri"
"785","Bharathram Thothadri"
"786","BiT Capital"
"787","Bicro"
"788","Big Basin Capital"
"789","Big Basin Capital"
"790","Big Bloom Investment"
"791","Big Venture Challenge"
"792","Bigcolors"
"793","Bijan Pakzad"
"794","Bill &amp; Melinda Gates Foundation"
"795","Bill &amp; Melinda Gates Foundation"
"796","Bill Boebel"
"797","Bill Boebel"
"798","Bill Bryant"
"799","Bill Budinger"
"800","Bill Cesare"
"801","Bill Clerico"
"802","Bill Collatos"
"803","Bill Curtis"
"804","Bill DeWitt III"
"805","Bill DeWitt III"
"806","Bill Gajda"
"807","Bill Gee"
"808","Bill Gross"
"809","Bill Gross"
"810","Bill Guschwan"
"811","Bill Lee"
"812","Bill Liao"
"813","Bill Lohse"
"814","Bill McAleer"
"815","Bill O&#39;Donnell"
"816","Bill Peckovich"
"817","Bill Ryan"
"818","Bill Trenchard"
"819","Bill Veghte"
"820","Bill Veghte"
"821","Bill Walton"
"822","Bill Warner"
"823","Billiken Angels Network"
"824","Bimal Shah"
"825","Binary Capital"
"826","Binh Tran"
"827","Binh Tran"
"828","Binny Bansal"
"829","BioAdvance"
"830","BioGenerator"
"831","BioHealth Innovation"
"832","BioMed Ventures"
"833","Bionic Fund"
"834","Bionic Solution"
"835","Birchmere Labs"
"836","Birchmere Ventures"
"837","Bish Investments"
"838","Bisk Ventures"
"839","BitChemy Ventures"
"840","Bitcoin Investment Trust"
"841","Bitcoin Opportunity Fund"
"842","BitcoinShop"
"843","Biz Stone"
"844","Bizdom"
"845","Bizdom"
"846","Bizdom Ventures"
"847","Black Creek Group"
"848","Black Granite Capital"
"849","Black Green Capital"
"850","Black Ocean"
"851","Black Sheep Capital"
"852","BlackBerry Partners Fund"
"853","BlackRock"
"854","BlackRock"
"855","Blackbird Ventures"
"856","Blackbird Ventures (Australia)"
"857","Blackstone LaunchPad"
"858","Blacktop Capital"
"859","Blaine Cook"
"860","Blaine Cook"
"861","Blake Chandlee"
"862","Blake Krikorian"
"863","Blake Krikorian"
"864","Blake Mycoskie"
"865","Blank Slate Ventures"
"866","Blazer Ventures"
"867","Blockchain Capital"
"868","Bloom Equity"
"869","Bloomberg Beta"
"870","Blossom Street Ventures"
"871","Blue Capital Management LLC"
"872","Blue Cloud Ventures"
"873","Blue Cross"
"874","Blue Cross Blue Shield"
"875","Blue Cross Blue Shield of Massachusetts"
"876","Blue Fog Capital"
"877","Blue Haven Initiative"
"878","Blue Mountain"
"879","Blue Note Ventures"
"880","Blue Shield of Nebraska"
"881","Blue Sky Venture Capital"
"882","Blue Star Capital"
"883","Blue Startups"
"884","Blue Water Angels"
"885","Blue {Seed} Collective"
"886","BlueCross BlueShield Venture Partners"
"887","BlueJay Syndicate"
"888","BlueRun Ventures"
"889","Blueprint Health"
"890","Bluesky Equities Ltd"
"891","Bluestein &amp; Associates"
"892","Bluestein &amp; Associates, LLC"
"893","Blumberg Capital"
"894","Blume Ventures"
"895","Blume Ventures"
"896","Bo Feng"
"897","Bo Feng"
"898","Bob Lee"
"899","Bob Mason"
"900","Bob Mateson"
"901","Bob Montgomery"
"902","Bob Pasker"
"903","Bob Pittman"
"904","Bob Zipp"
"905","Bobby Brannigan"
"906","Bobby Goodlatte"
"907","Bobby Lent"
"908","Bobby Lent"
"909","Bobby Yazdani"
"910","Bodley Group"
"911","Bogomil Balkansky"
"912","Boldstart Ventures"
"913","Bolt"
"914","Bolt.io"
"915","Bon Angels"
"916","Bon Angels"
"917","BonAngels Venture Partners"
"918","Bonsai Venture Capital SCR"
"919","BoomStartup"
"920","BoomStartup"
"921","Boomtown Accelerator"
"922","Boomtown Health Tech Accelerator"
"923","Boon Hwee Koh"
"924","Boost Bitcoin Fund"
"925","Boost VC"
"926","Bootup Labs"
"927","Boox"
"928","Borealis"
"929","Borealis Ventures"
"930","Boris Jabes"
"931","Boris Putanec"
"932","Boris Putanec"
"933","Boris Shakhnovich"
"934","Boris Wertz"
"935","Bossa Nova Investimentos"
"936","Boston Angels"
"937","Boston Millennia Partners"
"938","Boston Seed Capital"
"939","Boston Syndicates (BOSS)"
"940","Boulder Ventures"
"941","Boulder Ventures"
"942","Boundary Capital Partners LLP"
"943","Boussard &amp; Gavaudan Holding"
"944","Boussard &amp; Gavaudan Holding Limited (BGHL)"
"945","Bowei Lee"
"946","Bowery Capital"
"947","Box"
"948","Box"
"949","BoxGroup"
"950","Bozano Investimentos"
"951","Bpifrance"
"952","Brad Bao"
"953","Brad Feld"
"954","Brad Flora"
"955","Brad Flora"
"956","Brad Gessler"
"957","Brad Jones"
"958","Brad Jones"
"959","Brad Murray"
"960","Brad Purdy"
"961","Brad Schwartz"
"962","Brad Weinberg"
"963","Brad Zions"
"964","Braden Pollock"
"965","Braden Pollock"
"966","Bradley C. Harrison"
"967","Bradley Foster"
"968","Brady Brim-DeForest"
"969","Bragiel Brothers"
"970","BrainPOP"
"971","Brainchild Holdings"
"972","Brand Capital"
"973","Brand Foundry Ventures"
"974","Brand Ventures"
"975","Brand Ventures"
"976","BrandProject"
"977","BrandProject"
"978","Brandon Goldman"
"979","Brava Invest"
"980","Brava Invest"
"981","Bre Pettis"
"982","Breakaway Innovation Group"
"983","Brenda Irwin"
"984","Brenda Irwin"
"985","Brendan Richardson"
"986","Brendan Wallace"
"987","Brent Goldman"
"988","Brent Hill"
"989","Brent Holliday"
"990","Bret Taylor"
"991","Brett Akker"
"992","Brett Hurt"
"993","Brett Jackson"
"994","Brett Marley"
"995","Brett Mason"
"996","Brezho BV"
"997","Brian Balfour"
"998","Brian Chesky"
"999","Brian Coote"
"1000","Brian Costello"
"1001","Brian Daly"
"1002","Brian Hand"
"1003","Brian Hand"
"1004","Brian Kinman"
"1005","Brian Larson"
"1006","Brian Lee"
"1007","Brian Lee"
"1008","Brian Luerssen"
"1009","Brian Ma"
"1010","Brian Matthews"
"1011","Brian Matthews"
"1012","Brian McClendon"
"1013","Brian McLoughlin"
"1014","Brian Morrow"
"1015","Brian NeSmith"
"1016","Brian Pokorny"
"1017","Brian Schlosser"
"1018","Brian Schlosser"
"1019","Brian Schlosser"
"1020","Brian Shire"
"1021","Brian Spaly"
"1022","Brian Sugar"
"1023","Brian Wilcove"
"1024","Brian Yee"
"1025","Briban Invest"
"1026","Brick &amp; Mortar Ventures"
"1027","Brick &amp; Mortar Ventures"
"1028","Bridge Bank"
"1029","Bridge Boys"
"1030","Bridge Boys Fund"
"1031","Bridge Builders Collaborative"
"1032","Bridge Investments"
"1033","Bridges Ventures"
"1034","Brigette Lau"
"1035","Briggs &amp; Stratton"
"1036","Bright Buffalo Niagara"
"1037","Bright Capital"
"1038","BrightStar Wisconsin Foundation"
"1039","BrightStar Wisconsin Foundation"
"1040","Brinc"
"1041","Broadway Angels"
"1042","Broadway Video Ventures"
"1043","Broadway video ventures"
"1044","Bronze Investments"
"1045","Brookline Venture Partners"
"1046","Brooklyn Bridge Ventures"
"1047","Brother Ventures"
"1048","Bruce Davis"
"1049","Bruce Davis"
"1050","Bruce Eskowitz"
"1051","Bruce Hack"
"1052","Bruce Holland"
"1053","Bruce Jaffe"
"1054","Bruce Jaffe"
"1055","Bruno Bowden"
"1056","Bruno Bowden"
"1057","Bruno Mars"
"1058","Bruno Yoshimura"
"1059","Bryan Freeman"
"1060","Bryan Frist"
"1061","Bryan Johnson"
"1062","Bryan Meehan"
"1063","Bryant Keil"
"1064","Bryce Bunker"
"1065","Bubba Murarka"
"1066","Bucknell Venture Plan Competition"
"1067","Buildit Accelerator"
"1068","Bull City Venture Partners"
"1069","Bull Partners"
"1070","Bulldog Innovation Group (BIG)"
"1071","Bullet Time Venture Partners"
